"plantas","Apis.mellifera","Brachymyrmex.sp1.M.PL.060","Ceratitis.roas","Chaetocnema.sp1.M.PL.060","Chironomidae.sp1.M.PL.060","Chrysomya.megacephala","Cicadellidae.sp1.M.PL.060","Dysauxes.florida","Episyrphus.sp1.M.PL.060","Eristalinus.flaveolus","Fannia.pusio","Henotesia.narcissus","Homoneura.quadrivittata","Ischiodon.aegyptius","Limnophora.quaterna","Lygistorrhina.sp1.M.PL.060","Melanostoma.annulipes","Miridae.sp1.M.PL.060","Musca.domestica","Nacoleia.sp1.M.PL.060","Nyctemera.insulare","Ophyra.capensis","Orchisia.costata","Ornidia.obesa","Orthellia.albigena","Pachycerina.crinicornis","Pelecophora.intemipta","Psyllidae.sp1.M.PL.060","Sapromyza.sp1.M.PL.060","Scirtidae.sp1.M.PL.060","Scirtidae.sp2.M.PL.060","Stomorhina.lunata","Stomoxys.calcitrans","Stomoxys.niger","Syritta.nigrofemorata","Tarundia.servillei","Technomyrmex.albipes","Tettigoniidae.sp1.M.PL.060","Zosterops.mauritianus","Acopsis.viridicans","Allograpta.nasuta","Allograpta.sp1.M.PL.061","Atherigona.sp1.M.PL.061","Brachymyrmex.sp1.M.PL.061","Chaetocnema.sp1.M.PL.061","Dasytinae.sp1.M.PL.061","Episyrphus.sp1.M.PL.061","Homoneura.sp1.M.PL.061","Leptotes.pirithous","Lygistorrhina.sp1.M.PL.061","Melanagromyza.sojae","Nacoleia.sp1.M.PL.061","Nacoleia.sp2.M.PL.061","Paragus.borbonicus","Phorinia.sp1.M.PL.061","Polistes.hebraeus","Psilopa.iceryae","Sapromyza.sp1.M.PL.061","Sarcophaga.arno","Sepsis.lateralis","Unidentified.sp1.M.PL.061","Acalyptrate.sp1.M.PL.062","Brachymyrmex.sp1.M.PL.062","Chaetocnema.sp1.M.PL.062","Cheloninae.sp1.M.PL.062","Dioxyna.sororcula","Diptera.sp1.M.PL.062","Episyrphus.sp1.M.PL.062","Graphomya.maculata","Homoneura.sp1.M.PL.062","Hyadina.sp1.M.PL.062","Lygaeidae.sp1.M.PL.062","Lygistorrhina.sp1.M.PL.062","Mauritiborium.undulatus","Nacoleia.sp1.M.PL.062","Panara.naso","Phelsuma.cepediana","Phorinia.sp1.M.PL.062","Pteromalidae.sp1.M.PL.062","Pterophoridae.sp1.M.PL.062","Unidentified.sp7.M.PL.062","Villa.unifasciata","Brachymyrmex.sp1.M.PL.063","Cephonodes.trochilus","Chaetocnema.sp1.M.PL.063","Cryptinae.sp1.M.PL.063","Episyrphus.sp1.M.PL.063","Homoneura.sp1.M.PL.063","Hydrillodes.sp1.M.PL.063","Lecithoceridae.sp1.M.PL.063","Lygistorrhina.sp1.M.PL.063","Macroglossum.milvus","Melanostoma.bituberculatum","Nacoleia.sp1.M.PL.063","Nacoleia.sp2.M.PL.063","Phorinia.sp1.M.PL.063","Remigia.frugalis","Scatopsidae.sp1.M.PL.063","Syritta.sp1.M.PL.063","Trichoplusia.indicator","Ahasverus.advena","Bactrocera.cucurbitae","Brachymyrmex.sp1.M.PL.064","Calcidoidae.sp1.M.PL.064","Chaetocnema.sp1.M.PL.064","Condica.capensis","Drosophila.sp1.M.PL.064","Eilema.squalida","Episyrphus.sp1.M.PL.064","Eumolpinae.sp1.M.PL.064","Homoneura.sp1.M.PL.064","Lecithoceridae.sp1.M.PL.064","Lecithoceridae.sp2.M.PL.064","Limoniidae.sp1.M.PL.064","Lygaeidae.sp1.M.PL.064","Lygistorrhina.sp1.M.PL.064","Miridae.sp1.M.PL.064","Mythimna.sp1.M.PL.064","Nacoleia.sp1.M.PL.064","Nacoleia.sp2.M.PL.064","Pheidole.megacephala","Psyllidae.sp1.M.PL.064","Sapromyza.sp1.M.PL.064","Spilogona.sp1.M.PL.064","Syritta.sp1.M.PL.064","Zaprionus.vittiger","Achaea.finita","Aganais.borbonica","Agrostis.atritegulator","Brachymyrmex.sp2.M.PL.065","Campopleginae.sp1.M.PL.065","Cerambycidae.sp1.M.PL.065","Chaetocnema.sp2.M.PL.065","Drosophila.sp2.M.PL.065","Foudia.madagascariense","Gelechioidea.sp1.M.PL.065","Hippotion.eson","Limonia.sp1.M.PL.065","Lygaeidae.sp2.M.PL.065","Lygistorrhina.sp2.M.PL.065","Mordellidae.sp1.M.PL.065","Mordellidae.sp2.M.PL.065","Nacoleia.sp3.M.PL.065","Nacoleia.sp4.M.PL.065","Peribaea.sp1.M.PL.065","Pycnonotus.jocosus","Scopariinae.sp1.M.PL.065","Spodoptera.littoralis","Brachymyrmex.sp1.M.PL.066","Cerambycidae.sp1.M.PL.066","Chaetocnema.sp1.M.PL.066","Lauxania.sp1.M.PL.066","Lygistorrhina.sp1.M.PL.066","Mordellidae.sp1.M.PL.066","Nacoleia.sp1.M.PL.066","Phalanta.phalantha","Phorinia.sp1.M.PL.066","Sapromyza.sp1.M.PL.066","Siphona.sp1.M.PL.066","Syritta.sp1.M.PL.066","Brachymyrmex.sp1.M.PL.067","Episyrphus.sp1.M.PL.067","Lecithoceridae.sp1.M.PL.067","Lygaeidae.sp1.M.PL.067","Nacoleia.sp1.M.PL.067","Nacoleia.sp2.M.PL.067","Nogodinidae.sp1.M.PL.067","Phorinia.sp1.M.PL.067","Sarrothripinae.sp1.M.PL.067","Syritta.sp1.M.PL.067","Brachymyrmex.sp1.M.PL.068","Cerambycidae.sp1.M.PL.068","Chaetocnema.sp1.M.PL.068","Cheloninae.sp1.M.PL.068","Drosophila.sp1.M.PL.068","Episyrphus.sp1.M.PL.068","Hyadina.sp1.M.PL.068","Hyperaspis.hottentota","Nacoleia.sp1.M.PL.068","Nacoleia.sp2.M.PL.068","Papillio.manlius","Phorinia.sp1.M.PL.068","Sapromyza.sp1.M.PL.068","Scolia.oryctophaga","Siphona.sp1.M.PL.068","Unidentified.sp1.M.PL.068","Allograpta.sp1.M.PL.069","Brachymyrmex.sp1.M.PL.069","Conocephalus.sp1.M.PL.069","Dolichopodidae.sp1.M.PL.069","Hydrillodes.sp1.M.PL.069","Nacoleia.sp1.M.PL.069","Phorinia.sp1.M.PL.069","Pteromalidae.sp1.M.PL.069","Scopariinae.sp1.M.PL.069","Strictopterinae.sp1.M.PL.069","Syritta.sp1.M.PL.069","Trirhithrum.sp1.M.PL.069","Anthomyia.faciata","Brachymyrmex.sp1.M.PL.070","Chaetocnema.sp1.M.PL.070","Episyrphus.sp1.M.PL.070","Nacoleia.sp1.M.PL.070","Phorinia.sp1.M.PL.070","Syritta.sp1.M.PL.070","Thelairodrino.sp1.M.PL.070","Episyrphus.sp1.M.PL.071","Lecithoceridae.sp1.M.PL.071","Lygistorrhina.sp1.M.PL.071","Nacoleia.sp1.M.PL.071","Paleorhiza.sp1.M.PL.071","Phorinia.sp1.M.PL.071","Scolia.carniflex","Simulium.sp1.M.PL.071","Simulium.sp2.M.PL.071","Syritta.sp1.M.PL.071","Trirhithrum.sp1.M.PL.071","Zizeeria.knysa","Chaetocnema.sp1.M.PL.072","Diptera.sp1.M.PL.072","Diptera.sp2.M.PL.072","Homoneura.sp1.M.PL.072","Homoneura.sp2.M.PL.072","Lygistorrhina.sp1.M.PL.072","Nacoleia.sp1.M.PL.072","Nacoleia.sp2.M.PL.072","Phorinia.sp1.M.PL.072","Sapromyza.sp1.M.PL.072","Unidentified.sp1.M.PL.072","Brachymyrmex.sp1.M.PL.073","Chaetocnema.sp1.M.PL.073","Cheloninae.sp1.M.PL.073","Cixiidae.sp1.M.PL.073","Cotesia.sp1.M.PL.073","Episyrphus.sp1.M.PL.073","Gelechioidea.sp1.M.PL.073","Hydrotaea.fuliginosa","Lecithoceridae.sp1.M.PL.073","Lygistorrhina.sp1.M.PL.073","Nacoleia.sp1.M.PL.073","Nacoleia.sp2.M.PL.073","Psyllidae.sp1.M.PL.073","Sapromyza.sp1.M.PL.073","Scirtidae.sp1.M.PL.073","Scopariinae.sp1.M.PL.073","Thelairodrino.sp1.M.PL.073","Brachymyrmex.sp1.M.PL.074","Chaetocnema.sp1.M.PL.074","Episyrphus.sp1.M.PL.074","Gelechioidea.sp1.M.PL.074","Gelechioidea.sp2.M.PL.074","Lygaeidae.sp1.M.PL.074","Lygistorrhina.sp1.M.PL.074","Nacoleia.sp1.M.PL.074","Palexorista.sp1.M.PL.074","Scatopsidae.sp1.M.PL.074","Scirtidae.sp1.M.PL.074","Syritta.bulbus","Unidentified.sp1.M.PL.074","Agathidinae.sp1.M.PL.075","Brachymyrmex.sp1.M.PL.075","Cerambycidae.sp1.M.PL.075","Cerambycidae.sp2.M.PL.075","Chaetocnema.sp1.M.PL.075","Episyrphus.sp1.M.PL.075","Eumolpinae.sp1.M.PL.075","Eumolpinae.sp2.M.PL.075","Gelechioidea.sp1.M.PL.075","Lygistorrhina.sp1.M.PL.075","Nacoleia.sp1.M.PL.075","Nacoleia.sp2.M.PL.075","Phorinia.sp1.M.PL.075","Syritta.sp1.M.PL.075","Atherigona.orientalis","Brachymyrmex.sp1.M.PL.076","Calopsilia.florella","Campopleginae.sp1.M.PL.076","Chaetocnema.sp1.M.PL.076","Cratopus.psittacus","Cryptocephalinae.sp1.M.PL.076","Episyrphus.sp1.M.PL.076","Gelechioidea.sp1.M.PL.076","Gelechioidea.sp2.M.PL.076","Lecithoceridae.sp1.M.PL.076","Lygistorrhina.sp1.M.PL.076","Nacoleia.sp1.M.PL.076","Siphona.sp1.M.PL.076","Brachymyrmex.sp1.M.PL.077","Cerambycidae.sp1.M.PL.077","Chaetocnema.sp1.M.PL.077","Cixiidae.sp1.M.PL.077","Eumolpinae.sp1.M.PL.077","Lygaeidae.sp1.M.PL.077","Lygistorrhina.sp1.M.PL.077","Mordellidae.sp1.M.PL.077","Nacoleia.sp1.M.PL.077","Nitidulidae.sp1.M.PL.077","Cerambycidae.sp1.M.PL.078","Chaetocnema.sp1.M.PL.078","Lygaeidae.sp1.M.PL.078","Brachymyrmex.sp1.M.PL.079","Chaetocnema.sp1.M.PL.079","Miridae.sp1.M.PL.079","Nacoleia.sp1.M.PL.079","Phorinia.sp1.M.PL.079","Brachymyrmex.sp1.M.PL.080","Chaetocnema.sp1.M.PL.080","Episyrphus.sp1.M.PL.080","Lecithoceridae.sp1.M.PL.080","Mordellidae.sp1.M.PL.080","Nacoleia.sp1.M.PL.080","Phorinia.sp1.M.PL.080","Brachymyrmex.sp1.M.PL.081","Chaetocnema.sp1.M.PL.081","Cheloninae.sp1.M.PL.081","Episyrphus.sp1.M.PL.081","Lecithoceridae.sp1.M.PL.081","Mordellidae.sp1.M.PL.081","Nacoleia.sp1.M.PL.081","Nacoleia.sp2.M.PL.081","Phorinia.sp1.M.PL.081","Syritta.sp1.M.PL.081","Thysanoplusia.orichalcea","Brachymyrmex.sp1.M.PL.082","Chaetocnema.sp1.M.PL.082","Episyrphus.sp1.M.PL.082","Lygaeidae.sp1.M.PL.082","Mordellidae.sp1.M.PL.082","Nacoleia.sp1.M.PL.082","Phorinia.sp1.M.PL.082","Syritta.sp1.M.PL.082","Brachymyrmex.sp1.M.PL.083","Chaetocnema.sp1.M.PL.083","Musca.confiscata","Nacoleia.sp1.M.PL.083","Sapromyza.sp1.M.PL.083","Simulium.sp1.M.PL.083","Syritta.sp1.M.PL.083"
"Olea.lancea",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus.phillyreifolius",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pittosporum.senacia",16,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideroxylon.puberulum",232,0,3,0,0,12,0,4,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,3,1,3,0,0,0,0,0,27,9,0,0,0,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badula.platiphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera.rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum.proteoides",6,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocotea.laevigata",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea.trinervis",22,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakerella.hoyifolia",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenia.orbiculata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia.obtusifolia",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
