"","Apis mellifera","Brachymyrmex sp1 M_PL_060","Ceratitis roas","Chaetocnema sp1 M_PL_060","Chironomidae sp1 M_PL_060","Chrysomya megacephala ","Cicadellidae sp1 M_PL_060","Dysauxes florida","Episyrphus sp1 M_PL_060","Eristalinus flaveolus","Fannia pusio ","Henotesia narcissus","Homoneura quadrivittata ","Ischiodon aegyptius ","Limnophora quaterna ","Lygistorrhina sp1 M_PL_060","Melanostoma annulipes","Miridae sp1 M_PL_060","Musca domestica","Nacoleia sp1 M_PL_060","Nyctemera insulare","Ophyra capensis ","Orchisia costata ","Ornidia obesa","Orthellia albigena ","Pachycerina crinicornis ","Pelecophora intemipta","Psyllidae sp1 M_PL_060","Sapromyza sp1 M_PL_060","Scirtidae sp1 M_PL_060","Scirtidae sp2 M_PL_060","Stomorhina lunata","Stomoxys calcitrans","Stomoxys niger","Syritta nigrofemorata","Tarundia servillei","Technomyrmex albipes ","Tettigoniidae sp1 M_PL_060","Zosterops mauritianus","Acopsis viridicans","Allograpta nasuta","Allograpta sp1 M_PL_061","Atherigona sp1 M_PL_061","Brachymyrmex sp1 M_PL_061","Chaetocnema sp1 M_PL_061","Dasytinae sp1 M_PL_061","Episyrphus sp1 M_PL_061","Homoneura sp1 M_PL_061","Leptotes pirithous","Lygistorrhina sp1 M_PL_061","Melanagromyza sojae ","Nacoleia sp1 M_PL_061","Nacoleia sp2 M_PL_061","Paragus borbonicus","Phorinia sp1 M_PL_061","Polistes hebraeus","Psilopa iceryae ","Sapromyza sp1 M_PL_061","Sarcophaga arno ","Sepsis lateralis ","Unidentified sp1 M_PL_061","Acalyptrate sp1 M_PL_062","Brachymyrmex sp1 M_PL_062","Chaetocnema sp1 M_PL_062","Cheloninae sp1 M_PL_062","Dioxyna sororcula ","Diptera sp1 M_PL_062","Episyrphus sp1 M_PL_062","Graphomya maculata","Homoneura sp1 M_PL_062","Hyadina sp1 M_PL_062","Lygaeidae sp1 M_PL_062","Lygistorrhina sp1 M_PL_062","Mauritiborium undulatus ","Nacoleia sp1 M_PL_062","Panara naso","Phelsuma cepediana","Phorinia sp1 M_PL_062","Pteromalidae sp1 M_PL_062","Pterophoridae sp1 M_PL_062","Unidentified sp7 M_PL_062","Villa unifasciata","Brachymyrmex sp1 M_PL_063","Cephonodes trochilus","Chaetocnema sp1 M_PL_063","Cryptinae sp1 M_PL_063","Episyrphus sp1 M_PL_063","Homoneura sp1 M_PL_063","Hydrillodes sp1 M_PL_063","Lecithoceridae sp1 M_PL_063","Lygistorrhina sp1 M_PL_063","Macroglossum milvus","Melanostoma bituberculatum ","Nacoleia sp1 M_PL_063","Nacoleia sp2 M_PL_063","Phorinia sp1 M_PL_063","Remigia frugalis ","Scatopsidae sp1 M_PL_063","Syritta sp1 M_PL_063","Trichoplusia indicator ","Ahasverus advena ","Bactrocera cucurbitae","Brachymyrmex sp1 M_PL_064","Calcidoidae sp1 M_PL_064","Chaetocnema sp1 M_PL_064","Condica capensis","Drosophila sp1 M_PL_064","Eilema squalida","Episyrphus sp1 M_PL_064","Eumolpinae sp1 M_PL_064","Homoneura sp1 M_PL_064","Lecithoceridae sp1 M_PL_064","Lecithoceridae sp2 M_PL_064","Limoniidae sp1 M_PL_064","Lygaeidae sp1 M_PL_064","Lygistorrhina sp1 M_PL_064","Miridae sp1 M_PL_064","Mythimna sp1 M_PL_064","Nacoleia sp1 M_PL_064","Nacoleia sp2 M_PL_064","Pheidole megacephala","Psyllidae sp1 M_PL_064","Sapromyza sp1 M_PL_064","Spilogona sp1 M_PL_064","Syritta sp1 M_PL_064","Zaprionus vittiger","Achaea finita","Aganais borbonica","Agrostis atritegulator","Brachymyrmex sp2 M_PL_065","Campopleginae sp1 M_PL_065","Cerambycidae sp1 M_PL_065","Chaetocnema sp2 M_PL_065","Drosophila sp2 M_PL_065","Foudia madagascariense","Gelechioidea sp1 M_PL_065","Hippotion eson","Limonia sp1 M_PL_065","Lygaeidae sp2 M_PL_065","Lygistorrhina sp2 M_PL_065","Mordellidae sp1 M_PL_065","Mordellidae sp2 M_PL_065","Nacoleia sp3 M_PL_065","Nacoleia sp4 M_PL_065","Peribaea sp1 M_PL_065","Pycnonotus jocosus","Scopariinae sp1 M_PL_065","Spodoptera littoralis","Brachymyrmex sp1 M_PL_066","Cerambycidae sp1 M_PL_066","Chaetocnema sp1 M_PL_066","Lauxania sp1 M_PL_066","Lygistorrhina sp1 M_PL_066","Mordellidae sp1 M_PL_066","Nacoleia sp1 M_PL_066","Phalanta phalantha","Phorinia sp1 M_PL_066","Sapromyza sp1 M_PL_066","Siphona sp1 M_PL_066","Syritta sp1 M_PL_066","Brachymyrmex sp1 M_PL_067","Episyrphus sp1 M_PL_067","Lecithoceridae sp1 M_PL_067","Lygaeidae sp1 M_PL_067","Nacoleia sp1 M_PL_067","Nacoleia sp2 M_PL_067","Nogodinidae sp1 M_PL_067","Phorinia sp1 M_PL_067","Sarrothripinae sp1 M_PL_067","Syritta sp1 M_PL_067","Brachymyrmex sp1 M_PL_068","Cerambycidae sp1 M_PL_068","Chaetocnema sp1 M_PL_068","Cheloninae sp1 M_PL_068","Drosophila sp1 M_PL_068","Episyrphus sp1 M_PL_068","Hyadina sp1 M_PL_068","Hyperaspis hottentota","Nacoleia sp1 M_PL_068","Nacoleia sp2 M_PL_068","Papillio manlius","Phorinia sp1 M_PL_068","Sapromyza sp1 M_PL_068","Scolia oryctophaga","Siphona sp1 M_PL_068","Unidentified sp1 M_PL_068","Allograpta sp1 M_PL_069","Brachymyrmex sp1 M_PL_069","Conocephalus sp1 M_PL_069","Dolichopodidae sp1 M_PL_069","Hydrillodes sp1 M_PL_069","Nacoleia sp1 M_PL_069","Phorinia sp1 M_PL_069","Pteromalidae sp1 M_PL_069","Scopariinae sp1 M_PL_069","Strictopterinae sp1 M_PL_069","Syritta sp1 M_PL_069","Trirhithrum sp1 M_PL_069","Anthomyia faciata","Brachymyrmex sp1 M_PL_070","Chaetocnema sp1 M_PL_070","Episyrphus sp1 M_PL_070","Nacoleia sp1 M_PL_070","Phorinia sp1 M_PL_070","Syritta sp1 M_PL_070","Thelairodrino sp1 M_PL_070","Episyrphus sp1 M_PL_071","Lecithoceridae sp1 M_PL_071","Lygistorrhina sp1 M_PL_071","Nacoleia sp1 M_PL_071","Paleorhiza sp1 M_PL_071","Phorinia sp1 M_PL_071","Scolia carniflex","Simulium sp1 M_PL_071","Simulium sp2 M_PL_071","Syritta sp1 M_PL_071","Trirhithrum sp1 M_PL_071","Zizeeria knysa","Chaetocnema sp1 M_PL_072","Diptera sp1 M_PL_072","Diptera sp2 M_PL_072","Homoneura sp1 M_PL_072","Homoneura sp2 M_PL_072","Lygistorrhina sp1 M_PL_072","Nacoleia sp1 M_PL_072","Nacoleia sp2 M_PL_072","Phorinia sp1 M_PL_072","Sapromyza sp1 M_PL_072","Unidentified sp1 M_PL_072","Brachymyrmex sp1 M_PL_073","Chaetocnema sp1 M_PL_073","Cheloninae sp1 M_PL_073","Cixiidae sp1 M_PL_073","Cotesia sp1 M_PL_073","Episyrphus sp1 M_PL_073","Gelechioidea sp1 M_PL_073","Hydrotaea fuliginosa","Lecithoceridae sp1 M_PL_073","Lygistorrhina sp1 M_PL_073","Nacoleia sp1 M_PL_073","Nacoleia sp2 M_PL_073","Psyllidae sp1 M_PL_073","Sapromyza sp1 M_PL_073","Scirtidae sp1 M_PL_073","Scopariinae sp1 M_PL_073","Thelairodrino sp1 M_PL_073","Brachymyrmex sp1 M_PL_074","Chaetocnema sp1 M_PL_074","Episyrphus sp1 M_PL_074","Gelechioidea sp1 M_PL_074","Gelechioidea sp2 M_PL_074","Lygaeidae sp1 M_PL_074","Lygistorrhina sp1 M_PL_074","Nacoleia sp1 M_PL_074","Palexorista sp1 M_PL_074","Scatopsidae sp1 M_PL_074","Scirtidae sp1 M_PL_074","Syritta bulbus","Unidentified sp1 M_PL_074","Agathidinae sp1 M_PL_075","Brachymyrmex sp1 M_PL_075","Cerambycidae sp1 M_PL_075","Cerambycidae sp2 M_PL_075","Chaetocnema sp1 M_PL_075","Episyrphus sp1 M_PL_075","Eumolpinae sp1 M_PL_075","Eumolpinae sp2 M_PL_075","Gelechioidea sp1 M_PL_075","Lygistorrhina sp1 M_PL_075","Nacoleia sp1 M_PL_075","Nacoleia sp2 M_PL_075","Phorinia sp1 M_PL_075","Syritta sp1 M_PL_075","Atherigona orientalis","Brachymyrmex sp1 M_PL_076","Calopsilia florella","Campopleginae sp1 M_PL_076","Chaetocnema sp1 M_PL_076","Cratopus psittacus","Cryptocephalinae sp1 M_PL_076","Episyrphus sp1 M_PL_076","Gelechioidea sp1 M_PL_076","Gelechioidea sp2 M_PL_076","Lecithoceridae sp1 M_PL_076","Lygistorrhina sp1 M_PL_076","Nacoleia sp1 M_PL_076","Siphona sp1 M_PL_076","Brachymyrmex sp1 M_PL_077","Cerambycidae sp1 M_PL_077","Chaetocnema sp1 M_PL_077","Cixiidae sp1 M_PL_077","Eumolpinae sp1 M_PL_077","Lygaeidae sp1 M_PL_077","Lygistorrhina sp1 M_PL_077","Mordellidae sp1 M_PL_077","Nacoleia sp1 M_PL_077","Nitidulidae sp1 M_PL_077","Cerambycidae sp1 M_PL_078","Chaetocnema sp1 M_PL_078","Lygaeidae sp1 M_PL_078","Brachymyrmex sp1 M_PL_079","Chaetocnema sp1 M_PL_079","Miridae sp1 M_PL_079","Nacoleia sp1 M_PL_079","Phorinia sp1 M_PL_079","Brachymyrmex sp1 M_PL_080","Chaetocnema sp1 M_PL_080","Episyrphus sp1 M_PL_080","Lecithoceridae sp1 M_PL_080","Mordellidae sp1 M_PL_080","Nacoleia sp1 M_PL_080","Phorinia sp1 M_PL_080","Brachymyrmex sp1 M_PL_081","Chaetocnema sp1 M_PL_081","Cheloninae sp1 M_PL_081","Episyrphus sp1 M_PL_081","Lecithoceridae sp1 M_PL_081","Mordellidae sp1 M_PL_081","Nacoleia sp1 M_PL_081","Nacoleia sp2 M_PL_081","Phorinia sp1 M_PL_081","Syritta sp1 M_PL_081","Thysanoplusia orichalcea","Brachymyrmex sp1 M_PL_082","Chaetocnema sp1 M_PL_082","Episyrphus sp1 M_PL_082","Lygaeidae sp1 M_PL_082","Mordellidae sp1 M_PL_082","Nacoleia sp1 M_PL_082","Phorinia sp1 M_PL_082","Syritta sp1 M_PL_082","Brachymyrmex sp1 M_PL_083","Chaetocnema sp1 M_PL_083","Musca confiscata","Nacoleia sp1 M_PL_083","Sapromyza sp1 M_PL_083","Simulium sp1 M_PL_083","Syritta sp1 M_PL_083"
"Olea lancea",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phyllanthus phillyreifolius",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"Pittosporum senacia",16,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sideroxylon puberulum",232,0,3,0,0,12,0,4,0,1,1,0,0,0,0,0,0,0,13,0,0,0,0,3,1,3,0,0,0,0,0,27,9,0,0,0,6,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Badula platiphylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaertnera rotundifolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helichrysum proteoides",6,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ocotea laevigata",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Warneckea trinervis",22,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bakerella hoyifolia",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eugenia orbiculata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euodia obtusifolia",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
